	PARAMETER	UNITS	FIT	95%(+)	95%(-)
$M1_crit	$M1_crit	solar masses	117548186531.06471	10575539866.695267	22925499517.298203
$M1_dark_crit	$M1_dark_crit	solar masses	403799125.41997516	7101286834.516655	271059236.3833121
$M1_bulge_crit	$M1_bulge_crit	solar masses	95454512944.8404	11931744766.063354	14811057802.491669
$M1_disc_crit	$M1_disc_crit	solar masses	21689874460.804356	8457491733.884754	8385500951.189852
$M2_crit	$M2_crit	solar masses	20653319780.219406	150289627.75363922	73969367233.5471
$M2_dark_crit	$M2_dark_crit	solar masses	83254327.05640934	2334506765.3206167	37931656.393338785
$M2_bulge_crit	$M2_bulge_crit	solar masses	17147182661.40645	1859655869.3693352	4417999332.898993
$M2_disc_crit	$M2_disc_crit	solar masses	3422882791.756548	324561268.1976452	1440790929.130404
$M_eins	$M_eins	solar masses	75229349793.80133	2440428273.058182	6247472381.379364
$M_dark_eins	$M_dark_eins	solar masses	256288361.2420235	5259883734.610577	151107285.21512595
$M_bulge_eins	$M_bulge_eins	solar masses	62079431280.71311	847152291.151825	1225229896.6464844
$M_disc_eins	$M_disc_eins	solar masses	12893630151.846195	3666607752.704218	5173349769.948002
