	theta1	theta2	sigma
0	-4.625122517784973e-06	1.0035643198967395e-06	4.3633231299858235e-08
1	-4.581489286485115e-06	1.9634954084936205e-06	4.3633231299858235e-08
2	-4.406956361285681e-06	2.1816615649929116e-06	4.3633231299858235e-08
3	-4.18879020478639e-06	2.617993877991494e-06	4.3633231299858235e-08
4	-4.1451569734865326e-06	2.6616271092913523e-06	4.3633231299858235e-08
5	-3.926990816987241e-06	2.8797932657906434e-06	4.3633231299858235e-08
6	-3.6651914291880915e-06	3.3597588100890844e-06	4.3633231299858235e-08
7	-3.447025272688801e-06	3.5779249665883756e-06	4.3633231299858235e-08
8	-4.581489286485115e-06	4.7123889803846896e-06	4.3633231299858235e-08
9	-4.625122517784973e-06	4.668755749084831e-06	4.3633231299858235e-08
10	-4.7996554429844055e-06	4.494222823885398e-06	4.3633231299858235e-08
11	-4.843288674284264e-06	4.450589592585539e-06	4.3633231299858235e-08
12	-5.061454830783555e-06	4.2324234360862485e-06	4.3633231299858235e-08
13	-5.105088062083414e-06	4.014257279586958e-06	4.3633231299858235e-08
14	-5.2796209872828466e-06	3.970624048287099e-06	4.3633231299858235e-08
15	-5.3232542185827045e-06	3.752457891787808e-06	4.3633231299858235e-08
16	-5.541420375081996e-06	3.5342917352885176e-06	4.3633231299858235e-08
17	-3.883357585687383e-06	3.1415926535897925e-06	4.3633231299858235e-08
18	-5.715953300281429e-06	3.0543261909900765e-06	4.3633231299858235e-08
19	-5.759586531581287e-06	2.8797932657906434e-06	4.3633231299858235e-08
20	-4.363323129985823e-06	2.4434609527920616e-06	4.3633231299858235e-08
21	-5.803219762881145e-06	2.3998277214922028e-06	4.3633231299858235e-08
22	-5.93411945678072e-06	2.1380283336930532e-06	4.3633231299858235e-08
23	-5.977752688080578e-06	1.9634954084936205e-06	4.3633231299858235e-08
24	-6.021385919380436e-06	1.48352986419518e-06	4.3633231299858235e-08
25	-6.195918844579868e-06	7.4176493209759e-07	4.3633231299858235e-08
26	-6.239552075879728e-06	-1.3089969389957468e-07	4.3633231299858235e-08
27	-6.239552075879728e-06	-1.3089969389957468e-07	4.3633231299858235e-08
28	-6.195918844579868e-06	-3.9269908169872406e-07	4.3633231299858235e-08
29	-6.021385919380436e-06	-1.0908307824964558e-06	4.3633231299858235e-08
30	-5.977752688080578e-06	-1.5271630954950383e-06	4.3633231299858235e-08
31	-5.803219762881145e-06	-1.7889624832941878e-06	4.3633231299858235e-08
32	-5.759586531581287e-06	-2.1816615649929116e-06	4.3633231299858235e-08
33	-5.541420375081996e-06	-2.4870941840919195e-06	4.3633231299858235e-08
34	-5.497787143782137e-06	-2.6616271092913523e-06	4.3633231299858235e-08
35	-5.3232542185827045e-06	-2.7052603405912102e-06	4.3633231299858235e-08
36	-5.2796209872828466e-06	-2.9234264970905018e-06	4.3633231299858235e-08
37	-5.105088062083414e-06	-2.96705972839036e-06	4.3633231299858235e-08
38	-5.061454830783555e-06	-3.1852258848896505e-06	4.3633231299858235e-08
39	-4.843288674284264e-06	-3.4033920413889424e-06	4.3633231299858235e-08
40	-4.7996554429844055e-06	-3.5779249665883756e-06	4.3633231299858235e-08
41	-4.625122517784973e-06	-3.621558197888234e-06	4.3633231299858235e-08
42	-4.581489286485115e-06	-3.6651914291880915e-06	4.3633231299858235e-08
43	-4.363323129985823e-06	-3.883357585687383e-06	4.3633231299858235e-08
44	-4.1451569734865326e-06	-4.057890510886816e-06	4.3633231299858235e-08
45	-3.883357585687383e-06	-4.101523742186675e-06	4.3633231299858235e-08
46	-3.6651914291880915e-06	-4.2760566673861065e-06	4.3633231299858235e-08
47	-3.2288591161895097e-06	-4.2760566673861065e-06	4.3633231299858235e-08
48	-3.2288591161895097e-06	-4.2760566673861065e-06	4.3633231299858235e-08
49	-3.010692959690218e-06	-4.101523742186675e-06	4.3633231299858235e-08
50	-3.010692959690218e-06	-3.621558197888234e-06	4.3633231299858235e-08
51	-3.1852258848896505e-06	-3.447025272688801e-06	4.3633231299858235e-08
52	-3.2288591161895097e-06	-3.2288591161895097e-06	4.3633231299858235e-08
53	-3.2724923474893677e-06	-3.1852258848896505e-06	4.3633231299858235e-08
54	-3.447025272688801e-06	-2.9234264970905018e-06	4.3633231299858235e-08
55	-3.490658503988659e-06	-2.7488935718910686e-06	4.3633231299858235e-08
56	-3.6651914291880915e-06	-2.7052603405912102e-06	4.3633231299858235e-08
57	-3.70882466048795e-06	-2.4870941840919195e-06	4.3633231299858235e-08
58	-3.926990816987241e-06	-2.007128639793479e-06	4.3633231299858235e-08
59	-4.18879020478639e-06	-1.5707963267948962e-06	4.3633231299858235e-08
60	-4.363323129985823e-06	-1.3526301702956051e-06	4.3633231299858235e-08
61	-4.406956361285681e-06	-8.290313946973065e-07	4.3633231299858235e-08
