	alpha
0	0.42990215259649817
1	0.7936655124858425
2	0.8763390033697845
3	1.0416859851376683
4	1.0582206833144567
5	1.1408941741983987
6	1.3227758541430712
7	1.405449345027013
8	1.8353514976235112
9	1.8188167994467224
10	1.752678006739569
11	1.7361433085627804
12	1.6534698176788387
13	1.570796326794897
14	1.587331024971685
15	1.6700045158556267
16	1.7526780067395682
17	1.9014902903306643
18	1.934559686684241
19	2.0006984793913944
20	2.166045461159278
21	2.1825801593360667
22	2.281788348396797
23	2.34792714110395
24	2.5298088210486225
25	2.810898690054025
26	3.141592653589793
27	3.141592653589793
28	3.240800842650523
29	3.5053560134791377
30	3.6707029952470216
31	3.7699111843077517
32	3.9187234678988476
33	4.034466355136366
34	4.1006051478435195
35	4.117139846020308
36	4.19981333690425
37	4.2163480350810385
38	4.29902152596498
39	4.381695016848923
40	4.4478338095560765
41	4.464368507732864
42	4.4809032059096525
43	4.563576696793595
44	4.629715489500748
45	4.646250187677537
46	4.71238898038469
47	4.71238898038469
48	4.71238898038469
49	4.778527773091843
50	4.960409453036515
51	5.026548245743669
52	5.10922173662761
53	5.125756434804399
54	5.224964623865129
55	5.291103416572283
56	5.307638114749071
57	5.390311605633013
58	5.5721932855776855
59	5.73754026734557
60	5.820213758229511
61	6.018630136350973
