	PARAMETER	UNITS	FIT	95%(+)	95%(-)
$M	$M	solar masses	80539624921.6828	141962052.66104126	303582126.4832306
$M_dark	$M_dark	solar masses	55080298.304233	94105415.69829704	27531941.557798967
$M_bulge	$M_bulge	solar masses	100972864.02131827	106382956.59714739	9969678.396354109
$M_disc	$M_disc	solar masses	80383571759.35725	342450424.9564972	286019863.3217926
$M_bar	$M_bar	solar masses	80484544623.37857	236067468.35934448	276050184.9254303
$logM	$logM	-	10.906009602738228	-	-
$logM_dark	$logM_dark	-	7.740996283646097	-	-
$logM_bulge	$logM_bulge	-	8.004204674879247	-	-
$logM_disc	$logM_disc	-	10.905167299702697	-	-
$logM_bar	$logM_bar	-	10.905712491185152	-	-
